uuid	title	created_at	updated_at	messages	user_msgs	assistant_msgs	user_chars	assistant_chars	total_chars	categories	first_user
82271221-bad7-4e0c-8037-af588d8c0140	Crossing Borders: An Existential Dilemma	2024-06-25T05:42:32.649843Z	2024-06-25T06:07:36.130434Z	12	6	6	477	5117	5594	희곡/신춘문예/퇴고	10분짜리 희곡을 쓰려고 해. 이방인, 입국심사관, 거짓말, 숨겨진 진실, 부조리, 희망, 거절, 꿈. 이 키워드들로 희곡 구성을 해볼 수 있겠니. 좀 철학적인 내용이 담겨 있으면 좋겠는데
23ed86aa-a415-430f-b624-550940292a07	"Feedback on My Novel ""Writing Class"""	2024-06-25T06:21:34.555857Z	2024-06-25T06:22:32.818108Z	2	1	1	21	782	803	기타	내가 쓴 소설이야. 평가 해줘 ----
cd64ce62-ef17-4843-a7a3-1dd8ff60e115	희곡 경계	2024-06-25T15:02:08.979451Z	2024-07-21T13:10:50.851862Z	32	16	16	8489	11727	20216	희곡/신춘문예/퇴고;직장/조직/물류	대사 없이 지문만으로 희곡을 써보고 있어.  장면을 크게 3개로 나눠서 장면1 - 입국심사대에서 가벼운 질문들 오가고 입국심사관이 심층면접실로 이방인을 보내는 장면 장면2 - 심층면접실에서 계속 기다리면서 옆 사람과 입국 후의 삶에 대한 부푼 꿈과 희망에 대한 이야기 장면3 - 오래도록 기다려서 심층면접을 진행하는데 이전 입국시에 했던 거짓말이 밝혀져서 이번 입국도 거짓말로 보고 거절당하고 끝 이 구성은 어때   인데 지금 장면 1 쓰는중이야 어떤지 봐줘  등장인물 > A : 이방인  B : 입국
4eafcf03-a7fa-47ed-908b-36ee5f432dc7	"Exploring the Surreal Aesthetics of ""The Vegetarian"""	2024-06-29T13:39:46.811402Z	2024-06-29T13:39:56.867218Z	2	1	1	44	411	455	북클럽/문학 강독	한강의 채식주의자를 읽었어. 2부가 참 묘한데, 탐미주의적 소설이라고 읽혔거든.
ecf40770-cd43-40da-b01e-967a85d0195d	Wrongfully Accused: A 10-Minute Monologue	2024-07-01T17:36:25.241421Z	2024-07-02T03:20:22.366276Z	36	18	18	2556	21180	23736	희곡/신춘문예/퇴고	아래 조건을 가지고 10분짜리 희곡을 쓰려고 해. 아이디어가 필요해. 1. 억울한 사람 2. 전화통화 3. 모놀로그
65634913-e240-457d-b438-44cce3a0f764	Revising an AI-Focused Novel	2024-07-02T04:37:12.866366Z	2024-07-02T05:50:07.577789Z	12	6	6	624	5598	6222	AI/도구/위키	내가 썼던 소설인데, 다시 쓰고 싶어서. 어느 부분을 어떻게 고치면 좋을지 좀 봐줘.  -----------------------------------
648bbca3-f78d-4219-ae09-10ac778cfd85	Balancing Character Complexity in Novel Writing	2024-07-02T05:15:10.857379Z	2024-07-02T05:15:26.835783Z	2	1	1	376	688	1064	자기이해/관계/정당화	소설 쓰는 누군가의 고민인데 흠   쓰다 보니 이야기가 너무 복잡해질 거 같아 우울해집니다  쓰는 사람도 피곤한데 읽는 입장에선 더 피곤하지 않을까요  주요 등장인물은 16명이 될 거 같아요 1부 주요 등장인물은 4-5명 2부에는 앞에 나온 3명 다시 나오고 + 1-3명 추가 ...  200자 원고지 80장짜리 소설의 주요 등장인물이 2-3명이라면  200장 정도면 4-5명쯤 될까요 300장 정도면 5-6명? 500장 정도면 7-8명? 800장 정도면 9-10명? 1000장 정도면 11-12명 정
b2839635-089d-4b4b-ac7e-634cc98f3807	Navigating a Dystopian Social Score System	2024-07-02T15:14:22.298212Z	2024-07-04T03:51:51.144090Z	68	34	34	9202	23840	33042	기타	**등장인물 ** A **때** 2030년 7월 장마철 **장소 ** 작고 어두운 방, 벽에 큰 디지털 시계와 숫자가 적혀있는 디스플레이가 보인다. 시간은 23:40, 디스플레이에는 65라고 적혀있다. 방이 어두워서 시계와 디스플레이에 숫자가 뚜렷하게 보인다. A가 아날로그식 전화기 앞에 앉아있다. 작은 조명이 은은하게 A와 전화기를 향해 비추고 있다. **A:** (수화기를 들고 다이얼을 돌리며) 크흠, 아아- 하나둘, 하나둘. 도- 도레미파솔- 솔- 솔톤으로- 말하기- (밝은 목소리) 네, 안
759a03ef-67cd-49b0-9ace-0d5975b13558		2024-07-03T02:34:01.170741Z	2024-07-03T02:34:01.170741Z	0	0	0	0	0	0	기타	
68508cd6-608d-4a32-8b92-d8f240f35fc2	진경님 합평	2024-07-04T04:18:14.612060Z	2024-07-04T05:38:11.184620Z	42	21	21	2359	10665	13024	희곡/신춘문예/퇴고	다른 사람이 쓰고 있는 소설 합평을 해야 하는데 1부랑 2부까지 쓴거야. 어때?
147ee332-512a-4655-b37f-595a6b4ca0e7	유혜원님 합평	2024-07-04T05:32:26.063825Z	2024-07-04T06:10:13.133551Z	18	9	9	660	4235	4895	희곡/신춘문예/퇴고	이 소설을 합평해야 해. 좋은점과 고칠점 위주로
991eea9a-29c1-4f08-9a0c-89627344dc6a	김지원님 합평	2024-07-04T06:14:38.833095Z	2024-07-04T11:16:14.949733Z	16	8	8	369	4264	4633	희곡/신춘문예/퇴고	소설 합평을 해야 하는데 이거 좋은점과 고칠점 위주로 봐줘
59e5327c-d0df-4eb6-b7b5-7a9e334909f2	The Illusion of Sanity: Exploring the Psychology of Human Behavior	2024-07-05T06:04:56.504837Z	2024-07-06T14:30:36.813756Z	26	13	13	641	6937	7578	기타	'제정신이라는 착각' 이라는 책을 읽고 있어. 흥미롭네
90358054-e301-4ef7-bd0e-1896cc933937	Confidence Reflects Character, Not Knowledge	2024-07-05T16:31:00.297018Z	2024-07-06T02:43:05.863384Z	6	3	3	82	1838	1920	기타	확신은 내가 뭘 아는지 보여준다기보다 내가 어떤사람인지를 보여준다 이 말 어때
9c2c0b9a-a433-4c50-bae7-4888d562b9a9	Evolutionary Perspective on Genetic Factors in Depression	2024-07-06T14:44:19.714225Z	2024-07-07T01:35:10.906392Z	56	28	28	1355	21516	22871	기타	"책에 나온 질문이 ""우울증이 일상을 침해하고 악영향을 미치는데, 어째서 우울증 소인이 있는 유전자가 우세해졌을까?"" 라고 나오거든."
1089ea6d-b0d0-4773-8ddf-61d8ec24ac26	파도가 온다	2024-07-07T08:32:54.144000Z	2024-07-12T13:10:59.088745Z	260	130	130	22052	105761	127813	희곡/신춘문예/퇴고	10분짜리 희곡 대본 쓰기 중인데 기다림 이라는 주제로 쓸 스토리 아이디어 몇개 좀
9599aed8-2a95-4b10-bc21-005883f2bdfc	Understanding the Global Keyword in Python	2024-07-08T12:35:07.514978Z	2024-07-08T12:35:22.599002Z	2	1	1	56	669	725	AI/도구/위키	파이썬 배유는데 variable 배우는 중. 키워드 global을 중간에 꼭 넣어주라는데 이해가 안감
33374799-a3b4-420b-abab-10bb56653a57	Exploring Posthumanism in Modern Theater	2024-07-09T10:29:44.691898Z	2024-07-09T12:18:48.504555Z	4	2	2	319	1405	1724	희곡/신춘문예/퇴고	최근 연극에서 포스트휴머니즘이 다뤄지는 이유가 뭘까
be66e3ac-4f6e-4468-8398-c83a491a06c0	조예진님 합평	2024-07-11T05:25:12.114348Z	2024-07-11T06:06:44.094518Z	8	4	4	763	2899	3662	희곡/신춘문예/퇴고	소설 합평 시간이야. 이거 좋은점과 고칠점 위주로 봐줘 ----------
269d277b-1307-4b94-8f84-2446083d5d10	이진섭님 합평	2024-07-11T05:26:33.561907Z	2024-07-11T09:45:55.732162Z	12	6	6	450	3627	4077	희곡/신춘문예/퇴고	소설 합평 시간이야. 완성작은 아닌데 좋은점과 고칠점 위주로 봐줘
