book	existing	existing_ref	convs	chars	top_titles
날개	False		112	9474483	문서 다각적 평가 및 분석 | 청소년 희곡 구상 평가 | 마션 북클럽 파트1 작가론 구성 | 이오네스코 <코뿔소> 북클럽 작성하기 | 합평과 퇴고 스킬 연습
시지프 신화	True	시지프신화	14	2364176	마션 북클럽 파트1 작가론 구성 | 이오네스코 <코뿔소> 북클럽 작성하기 | 줄리언반스 예감은 틀리지 않는다 논의 | 카프카 소송 북클럽 파트1 검토 | 시지프 신화 북클럽 파트1 준비
이방인	False		17	2301794	최은영 <백지 앞에서> 작가론 분석 | 희곡 관계란 | 줄리언반스 예감은 틀리지 않는다 논의 | 카프카 소송 북클럽 파트1 검토 | 시지프 신화 북클럽 파트1 준비
소송	True	소송	12	1301050	줄리언반스 예감은 틀리지 않는다 논의 | 카프카 소송 북클럽 파트1 검토 | 시지프 신화 북클럽 파트1 준비 | 무진기행 북클럽 | 사탄탱고 북클럽 사전 리서치 자료
코뿔소	True	코뿔소	7	1236549	이오네스코 <코뿔소> 북클럽 작성하기 | 카프카 소송 북클럽 파트1 검토 | 시지프 신화 북클럽 파트1 준비 | 톨스토이 《부활》 북클럽 파트1 작성 | 켄 리우 종이 동물원 사전 리서치
부활	True	부활	11	1221945	희곡 관계란 | 카프카 소송 북클럽 파트1 검토 | 독서모임 책 추천 | 톨스토이 《부활》 북클럽 파트1 작성 | 제자리에 있다는 것 북클럽 준비
사람, 장소, 환대	True	사람장소환대	8	1210895	이오네스코 <코뿔소> 북클럽 작성하기 | 최은영 <백지 앞에서> 작가론 분석 | 카프카 소송 북클럽 파트1 검토 | 시대예보: 경량문명의 탄생 | 프롤로그 해설 내용 단순화하기
예감은 틀리지 않는다	True	예감은틀리지않는다	5	1088309	최은영 <백지 앞에서> 작가론 분석 | 줄리언반스 예감은 틀리지 않는다 논의 | 무진기행 북클럽 | 줄리언 반스 작가론적 접근 | 브람스 곡명의 말줄임표 의미
무진기행	True	무진기행	6	1060411	마션 북클럽 파트1 작가론 구성 | 카프카 소송 북클럽 파트1 검토 | 무진기행 북클럽 | 켄 리우 종이 동물원 사전 리서치 | 무진기행 북클럽 분석 작성
백지 앞에서	True	백지앞에서	4	1033708	최은영 <백지 앞에서> 작가론 분석 | 줄리언반스 예감은 틀리지 않는다 논의 | 시지프 신화 북클럽 파트1 준비 | 독서모임 책 추천
마션	True	마션;마션	3	1010809	마션 북클럽 파트1 작가론 구성 | 카프카 소송 북클럽 파트1 검토 | 시지프 신화 북클럽 파트1 준비
종이 동물원	True	종이동물원	4	879797	이오네스코 <코뿔소> 북클럽 작성하기 | 무진기행 북클럽 | 톨스토이 《부활》 북클럽 파트1 작성 | 켄 리우 종이 동물원 사전 리서치
페스트	False		4	827984	마션 북클럽 파트1 작가론 구성 | 시지프 신화 북클럽 파트1 준비 | Podcast on Camus' The Stranger | Book Club: Camus vs Akutagawa
사탄탱고	True	사탄탱고	6	826922	카프카 소송 북클럽 파트1 검토 | 시지프 신화 북클럽 파트1 준비 | 줄리언 반스 작가론적 접근 | 사탄탱고 북클럽 사전 리서치 자료 | 프롤로그 해설 내용 단순화하기
흰 고래의 흼에 대하여	True	흰고래의흼에대하여	17	791261	파도가 온다 | 센스의 철학 북클럽 파트1 작성 | Island Bookstore's First Page | Modernizing a Family Drama for Literary Contest | Balzac's Elegant Contradiction
달리기를 말할 때 내가 하고 싶은 말	True	달리기를말할때내가하고싶은말	10	769816	줄리언반스 예감은 틀리지 않는다 논의 | 독서모임 책 추천 | 한국이란 무엇인가 사전 리서치 체크리스트 | Haruki Murakami: Literary Journey | Ishiguro's Remains of the Day
남아 있는 나날	True	남아있는나날	4	722866	이오네스코 <코뿔소> 북클럽 작성하기 | 독서모임 책 추천 | Ishiguro's Remains of the Day | 독서모임 모집글
혼모노	True	혼모노;혼모노	4	561370	마션 북클럽 파트1 작가론 구성 | 성해나 《혼모노》 문학 해석 | Book Club: Camus vs Akutagawa | Philistine Cultural Identity
한국이란 무엇인가	True	한국이란무엇인가	4	556681	무진기행 북클럽 | 톨스토이 《부활》 북클럽 파트1 작성 | 제자리에 있다는 것 북클럽 준비 | 한국이란 무엇인가 사전 리서치 체크리스트
데미안	False		2	521265	오사카 미술 여행 가이드 | 독서모임 책 추천
브람스를 좋아하세요	True	브람스를좋아하세요	4	514352	줄리언반스 예감은 틀리지 않는다 논의 | 브람스 곡명의 말줄임표 의미 | 센스의 철학 북클럽 파트1 작성 | 사강의 『브람스를 좋아하세요…』 창작 의도 분석
1984	True	1984	9	478032	독서모임 책 추천 | 줄리언 반스 작가론적 접근 | Dystopian Play About AI-Controlled Society | Privacy Through History | Defining a meaningful life
참을 수 없는 존재의 가벼움	False		4	457625	시지프 신화 북클럽 파트1 준비 | 무진기행 북클럽 | Killer's Imperfect Memory | Diverse Novel Recommendations for a Reading Group
노인과 바다	False		4	402460	"독서모임 책 추천 | 파도가 온다 | Modernizing a Family Drama for Literary Contest | Exploring the Mysteries of Time and Family in ""The Waves Come"""
시대예보	True	시대예보경량문명의탄생	3	284586	독서모임 책 추천 | 시대예보: 경량문명의 탄생 | 경량문명의 탄생 북클럽 스킬 개발
작별하지 않는다	True	작별하지않는다	8	283941	독서모임 책 추천 | 한강의 사랑에 대한 시 | Discussing Patch Stedman's Book on Women and Alcohol | The Gravity of Depression: Reluctance to Part with a Vanished World | 한강 작별하지 않는다 북클럽 파트 1
제자리에 있다는 것	True	제자리에있다는것	2	267441	톨스토이 《부활》 북클럽 파트1 작성 | 제자리에 있다는 것 북클럽 준비
서사의 위기	True	서사의위기	6	247450	한국이란 무엇인가 사전 리서치 체크리스트 | 청소년 희곡 | 논픽션 스킬 분화 제안 | Analyzing narrative crisis chapters 1-2 with quotes and interpretation | Narrative crisis analysis with quote commentary
구토	False		5	208800	"Indifference Towards Death in South Korea | Podcast on Camus' The Stranger | Mirror play on memory and healing | Exploring the Mysteries of Time and Family in ""The Waves Come"" | Critique of Excessive Audience Participation at Music Festivals"
우리가 운명이라고 불렀던 것들	True	우리가운명이라고불렀던것들	2	161607	센스의 철학 북클럽 파트1 작성 | 운명이라는 우연에 대한 책 분석 준비
궤도	True	궤도;궤도	4	144337	Balzac's Elegant Contradiction | 독서모임 모집글 | Killer's Imperfect Memory | First lie research document
센스의 철학	True	센스의철학	3	117266	센스의 철학 북클럽 파트1 작성 | 흰고래의 흼 북클럽 파트1 작성 | 센스의 철학 북클럽 파트1 작성
경험의 멸종	True	경험의멸종	2	103427	Christine Rosen: Technology and Human Experience | 독서모임 모집글
Get the Picture	True	getthepicture	5	61450	Get the Picture 북클럽 파트 2 작성 | Flaws of nature book club materials part 2 | Get the Picture 북클럽 파트 1 준비 | Get the Picture 북클럽 파트 2 제작 | Get the Picture 북클럽 파트 1 준비
모든 것이 산산이 부서지다	True	모든것이산산이부서지다	5	39286	Okonkwo's self-condemnation and gendered shame | Everything falls apart analysis and interpretation | Things Fall Apart part 3 analysis and quotes | Things Fall Apart part 3 analysis and quotes | Things fall apart analysis and interpretation
고래는 물에서 숨 쉬지 않는다	True	고래는물에서숨쉬지않는다	4	22872	"Flaws of nature book club materials part 2 | Preparing for Andy Dobson's ""Flaws of nature"" book club | Flaws of nature book club materials part 2 | Book club materials for ""Flaws of nature"""
