uuid	title	created	updated	messages	user_chars	total_chars	score	books	first_user
f392fbbb-098c-4d21-879c-6c2adb39e36c	문서 다각적 평가 및 분석	2026-04-16T17:35:52.208607Z	2026-05-14T09:49:15.147786Z	375	21279	987016	5	날개	저는_전체_v3 (3).md 을 읽고 가양한 관점에서 평가해보자
af04ba11-171b-42ac-a59c-ca75c9dfc18c	청소년 희곡 구상 평가	2026-05-21T14:42:12.581557Z	2026-05-26T14:32:37.684725Z	99	15834	764368	5	날개	이 청소년 희곡 구상에 대해 다각도로 평가해보자
c4690b75-6ecc-46d9-b5b0-cba328b5cf7c	마션 북클럽 파트1 작가론 구성	2026-06-18T13:37:05.739812Z	2026-06-21T12:53:01.830406Z	106	3911	523921	20	시지프 신화;무진기행;마션;혼모노;날개;페스트	앤디 위어의 <마션>을 읽고 있어. 북클럽 파트1 을 작성하려고 해.   deep-research-report_마션.md, 마션_사전리서치-보충.md 을 검토해보고 부족한 부분은 추가 리서치로 채워서 작가론적인 파트1을 구성해보자
1f6ca565-e789-4ac2-ae42-6e7cbadbcff4	이오네스코 <코뿔소> 북클럽 작성하기	2026-02-06T13:22:40.506911Z	2026-03-22T14:18:02.094663Z	275	29401	465145	20	시지프 신화;코뿔소;남아 있는 나날;사람, 장소, 환대;종이 동물원;날개	외젠 이오네스코의 <코뿔소> 에 대해 '사전리서치.md' 를 참고해서 북클럽 파트1을 작성해보자. 희곡이라 희곡 북클럽 스킬은 없어. 소설 북클럽 스킬을 희곡에 맞게 변형해서 해보자
582965fb-1fa3-421d-b942-605e9659facf	오사카 미술 여행 가이드	2026-06-03T05:09:29.545170Z	2026-06-16T09:18:21.182532Z	333	6928	351673	3	데미안	2026년 6월 14-16일 일본 오사카를 간다면 미술 애호가 입장에서 어떤 걸 볼 수 있을까
d049a9db-386e-4bb5-910a-48c8e9178091	합평과 퇴고 스킬 연습	2026-05-25T11:25:41.889856Z	2026-05-26T12:44:12.472810Z	37	8200	343677	5	날개	현재희망없음_전체_v7.md 를 읽고 합평스킬을 써보자. 그 다음에 퇴고스킬을 쓸거야
8fb1e9d8-6354-40d1-bab9-52c113bbb82d	현대 직업의 문제점과 희곡 소재	2026-04-01T15:38:04.620150Z	2026-04-19T12:55:16.959766Z	402	22060	334245	5	날개	희곡 소재를 찾고 있어. 직업에 대한 동시대적 질문이나 고민은 뭐가 있을까
0ac5efee-267a-4095-9789-f9591ab0f835	최은영 <백지 앞에서> 작가론 분석	2026-06-04T14:15:48.680724Z	2026-06-07T13:50:07.988430Z	100	5873	327131	17	이방인;백지 앞에서;예감은 틀리지 않는다;사람, 장소, 환대;날개	최은영 작가의 <백지 앞에서>라는 책을 읽고 있어. 이책에 대한 작가론을 이방인 스타일 북클럽 파트1 스킬로 만들어보자. 프로젝트 파일에 사전리서치_백지앞에서 사전리서치2_백지앞에서 두 파일을 읽어보고, 부족한 부분은 검색해서 채워줘. 자료를 읽고 먼저 에세이의 특성을 살린 파트1 구조를 짜 보자.
be67955e-adab-4106-b883-7a7f74626ea3	희곡 관계란	2026-03-05T00:02:38.675302Z	2026-03-24T13:06:52.150303Z	416	35718	302740	11	이방인;부활;날개	희곡 소재 리서치가 필요.  소재는 '사랑'인데.   내가 좋아하는 방향은 아이러니, 모순, 부조리함 이거든
21d1de79-a2a5-440b-94ea-847ea65fac88	줄리언반스 예감은 틀리지 않는다 논의	2026-05-08T18:07:26.821826Z	2026-05-10T12:59:42.398146Z	112	7453	293615	23	이방인;시지프 신화;소송;백지 앞에서;예감은 틀리지 않는다;브람스를 좋아하세요;달리기를 말할 때 내가 하고 싶은 말	줄리언반스 예감은 틀리지 않는다 로 얘기하다가 채팅창이 풀이라 새로 만들라고 하네. 이전 대화 맥락 확인이 안되겠지?
d3a10b58-1505-430b-aad4-3b51ac5d536d	카프카 소송 북클럽 파트1 검토	2026-05-29T02:06:00.945021Z	2026-06-12T14:16:29.523411Z	95	8888	243518	32	이방인;시지프 신화;부활;무진기행;소송;코뿔소;마션;사람, 장소, 환대;사탄탱고;날개	카프카의 소송을 읽고 있어.  이방인 스타일 북클럽 스킬을 사용하고 있고,  프로젝트 파일에 현재까지 진행한 모든 내용이 들어있어. 현재 진행은 파트2 책내용에서 총 10개 챕터중 6개 챕터에 대한 파트2 작성이 된 상태야.   파트1 이 잘 작성되었는지 Kafka-research-1.md Kafka-research-2.md 두 리서치 파일과, 기작성된 소송_북클럽_파트1.md 을 점검해 보자
f169e396-a2d7-4d1c-8252-b325e86785a4	시지프 신화 북클럽 파트1 준비	2026-05-14T15:56:39.234949Z	2026-05-24T14:20:35.151078Z	139	7723	243370	29	이방인;시지프 신화;소송;코뿔소;마션;백지 앞에서;사탄탱고;참을 수 없는 존재의 가벼움;페스트	카뮈의 시지프신화를 읽고 있어. 시지프신화_사전리서치.md 를 읽고 이방인 스타일 북클럽 파트1을 만들어보자. 이방인 md 도 참고해줘
ac668418-5739-4af5-9aba-a00580f0bbc9	콜센터 화장실 개선안 미학적 재구성	2026-06-11T14:23:56.303463Z	2026-06-25T15:17:50.032416Z	130	5329	242297	5	날개	콜센터화장실_1차통합본.md 를 읽고 개선안에 대해 다양한 방면으로 최대한 내 미학을 극대화 시키는 방향으로 고민해서 상세한 개선 제안을 해보자. 합평 스킬에 맞춰서 하지 말고.
40d2bcfd-4723-4603-95b6-d0bb66f64dac	무진기행 북클럽	2026-04-18T10:15:30.322309Z	2026-04-19T13:50:28.533218Z	95	5723	172833	26	이방인;시지프 신화;무진기행;소송;예감은 틀리지 않는다;한국이란 무엇인가;종이 동물원;참을 수 없는 존재의 가벼움	민음사에서 나온 <무진기행> 김승옥 단편집을 읽고 있어. 북클럽 파트1 단편집 스킬을 써보자. 책을 읽고 만나는 모임이니까 작가는 왜 이 글을 썼는지 위주로. 프로젝트 파일의 리서치1_무진기행.md 리서치0_무진기행.md 리서치2_무진기행.md 을 참고해주고 부족한 부분은 검색해서 채워줘
fda9540b-556c-4237-a640-713671495885	독서모임 책 추천	2024-09-01T11:42:57.604412Z	2025-08-17T09:55:59.039438Z	393	75916	169592	32	부활;작별하지 않는다;백지 앞에서;남아 있는 나날;1984;시대예보;달리기를 말할 때 내가 하고 싶은 말;데미안;노인과 바다;날개	독서모임에서 모임 모집글을 올릴거야.  이번 책은 다자이 오사무의 인간실격. 세네문장으로 책의 소개와 후킹이 될만한 글을 만들어줘
97885b15-6643-4430-ab49-9e6b75b056d2	줄리언 반스 작가론적 접근	2026-04-30T09:17:06.893566Z	2026-05-08T14:18:10.312279Z	89	3537	168720	20	이방인;시지프 신화;예감은 틀리지 않는다;1984;사탄탱고;날개	줄리언반스 《예감은 틀리지 않는다》 / The Sense of an Ending 읽고있어. 북클럽 파트1을 작성해보자. 책을 다 읽고 만나는 걸 기준으로, 그러면 파트1에서 책 내용을 많이 다룰 필요는 없고, 파트1의 방향성이 이 작가는 누구고, 이 책을 왜 썼을까 쓰게 됐을까 로. 작가론적으로 파트1이 흘러가면 좋을 거 같거든.
